"","Age.ka.BP","Smoothed.LR04.d18O","Detrended.smoothed.d18O"
"241",481,4.145,4.145
"242",483,3.99,3.99
"243",485,3.8,3.8
"244",487,3.74,3.74
"245",489,3.635,3.635
"246",491,3.505,3.505
"247",493,3.675,3.675
"248",495,3.83,3.83
"249",497,3.755,3.755
"250",499,3.785,3.785
"251",501,3.81,3.81
"252",503,3.78,3.78
"253",505,3.885,3.885
"254",507,3.97,3.97
"255",509,4.11,4.11
"256",511,4.1,4.1
"257",513,4.235,4.235
"258",515,4.1,4.1
"259",517,3.985,3.985
"260",519,4.015,4.015
"261",521,3.93,3.93
"262",523,3.905,3.905
"263",525,3.875,3.875
"264",527,3.965,3.965
"265",529,3.955,3.955
"266",531,3.945,3.945
"267",533,4.06,4.06
"268",535,4.28,4.28
"269",537,4.49,4.49
"270",539,4.51,4.51
"271",541,4.515,4.515
"272",543,4.45,4.45
"273",545,4.445,4.445
"274",547,4.52,4.52
"275",549,4.54,4.54
"276",551,4.475,4.475
"277",553,4.49,4.49
"278",555,4.27,4.27
"279",557,4.37,4.37
"280",559,4.21,4.21
"281",561,4.175,4.175
"282",563,4.155,4.155
"283",565,3.985,3.985
"284",567,3.9,3.9
"285",569,3.985,3.985
"286",571,3.9,3.9
"287",573,3.62,3.62
"288",575,3.56,3.56
"289",577,3.47,3.47
"290",579,3.535,3.535
"291",581,3.845,3.845
"292",583,4.21,4.21
"293",585,4.32,4.32
"294",587,4.145,4.145
"295",589,4.13,4.13
"296",591,4.08,4.08
"297",593,4.005,4.005
"298",595,3.89,3.89
"299",597,3.845,3.845
"300",599,4.005,4.005
"301",600,4.07,4.07
"302",602,3.97,3.97
"303",604,3.77,3.77
"304",606,3.8,3.8
"305",608,3.8,3.8
"306",610,3.49,3.49
"307",612,3.52,3.52
"308",614,3.53,3.53
"309",616,3.66,3.66
"310",618,3.81,3.81
"311",620,4.09,4.09
"312",622,4.31,4.31
"313",624,4.63,4.63
"314",626,4.9,4.9
"315",628,5.01,5.01
"316",630,5.08,5.08
"317",632,5.05,5.05
"318",634,4.93,4.93
"319",636,5,5
"320",638,4.8,4.8
"321",640,5.01,5.01
"322",642,4.75,4.75
"323",644,4.68,4.68
"324",646,4.72,4.72
"325",648,4.75,4.75
"326",650,4.71,4.71
"327",652,4.79,4.79
"328",654,4.77,4.77
"329",656,4.57,4.57
"330",658,4.58,4.58
"331",660,4.64,4.64
"332",662,4.8,4.8
"333",664,4.58,4.58
"334",666,4.5,4.5
"335",668,4.65,4.65
"336",670,4.42,4.42
"337",672,4.52,4.52
"338",674,4.46,4.46
"339",676,4.4,4.4
"340",678,4.26,4.26
"341",680,4.14,4.14
"342",682,4.15,4.15
"343",684,4.03,4.03
"344",686,4.13,4.13
"345",688,3.95,3.95
"346",690,3.7,3.7
"347",692,3.71,3.71
"348",694,3.64,3.64
"349",696,3.5,3.5
"350",698,3.57,3.57
"351",700,3.65,3.65
"352",702,3.76,3.76
"353",704,3.84,3.84
"354",706,3.93,3.93
"355",708,4.03,4.03
"356",710,3.98,3.98
"357",712,4.06,4.06
"358",714,4.29,4.29
"359",716,4.61,4.61
"360",718,4.75,4.75
"361",720,4.66,4.66
"362",722,4.65,4.65
"363",724,4.44,4.44
"364",726,4.32,4.32
"365",728,4.16,4.16
"366",730,4.16,4.16
"367",732,4.02,4.02
"368",734,4.15,4.15
"369",736,4.19,4.19
"370",738,4.21,4.21
"371",740,4.11,4.11
"372",742,4.17,4.17
"373",744,4.48,4.48
"374",746,4.67,4.67
"375",748,4.59,4.59
"376",750,4.6,4.6
"377",752,4.48,4.48
"378",754,4.55,4.55
"379",756,4.59,4.59
"380",758,4.26,4.26
"381",760,4.33,4.33
"382",762,4.11,4.11
"383",764,4.28,4.28
"384",766,4.11,4.11
"385",768,4.07,4.07
"386",770,3.99,3.99
"387",772,3.87,3.87
"388",774,3.76,3.76
"389",776,3.64,3.64
"390",778,3.56,3.56
"391",780,3.48,3.48
"392",782,3.54,3.54
"393",784,3.55,3.55
"394",786,3.68,3.68
"395",788,3.7,3.7
"396",790,4.16,4.16
"397",792,4.27,4.27
"398",794,4.74,4.74
"399",796,4.67,4.67
"400",798,4.68,4.68
"401",800,4.68,4.68
"402",802,4.73,4.73
"403",804,4.55,4.55
"404",806,4.53,4.53
"405",808,4.49,4.49
"406",810,4.31,4.31
"407",812,4.38,4.38
"408",814,4.12,4.12
"409",816,4.08,4.08
"410",818,3.9,3.9
"411",820,3.96,3.96
"412",822,3.9,3.9
"413",824,3.92,3.92
"414",826,4.11,4.11
"415",828,3.95,3.95
"416",830,4.04,4.04
"417",832,4.07,4.07
"418",834,3.95,3.95
"419",836,3.82,3.82
"420",838,3.99,3.99
"421",840,4.02,4.02
"422",842,3.81,3.81
"423",844,3.67,3.67
"424",846,3.58,3.58
"425",848,3.63,3.63
"426",850,3.5,3.5
"427",852,3.65,3.65
"428",854,3.63,3.63
"429",856,3.46,3.46
"430",858,3.42,3.42
"431",860,3.45,3.45
"432",862,3.68,3.68
"433",864,3.58,3.58
"434",866,4.06,4.06
"435",868,4.32,4.32
"436",870,4.51,4.51
"437",872,4.67,4.67
"438",874,4.68,4.68
"439",876,4.69,4.69
"440",878,4.59,4.59
"441",880,4.68,4.68
"442",882,4.42,4.42
"443",884,4.47,4.47
"444",886,4.47,4.47
"445",888,4.45,4.45
"446",890,4.39,4.39
"447",892,4.32,4.32
"448",894,4.41,4.41
"449",896,4.4,4.4
"450",898,4.33,4.33
"451",900,4.29,4.29
"452",902,4.17,4.17
"453",904,4.14,4.14
"454",906,4.12,4.12
"455",908,3.99,3.99
"456",910,3.99,3.99
"457",912,4.09,4.09
"458",914,4.03,4.03
"459",916,4.06,4.06
"460",918,4.37,4.37
"461",920,4.51,4.51
"462",922,4.55,4.55
"463",924,4.43,4.43
"464",926,4.38,4.38
"465",928,4.26,4.26
"466",930,4.1,4.1
"467",932,4.07,4.07
"468",934,3.98,3.98
"469",936,4.02,4.02
"470",938,3.86,3.86
"471",940,3.89,3.89
"472",942,3.69,3.69
"473",944,3.57,3.57
"474",946,3.63,3.63
"475",948,3.48,3.48
"476",950,3.44,3.44
"477",952,3.3,3.3
"478",954,3.39,3.39
"479",956,3.33,3.33
"480",958,3.73,3.73
"481",960,4.16,4.16
"482",962,4.42,4.42
"483",964,4.58,4.58
"484",966,4.3,4.3
"485",968,4.21,4.21
"486",970,4.09,4.09
"487",972,3.98,3.98
"488",974,3.87,3.87
"489",976,3.77,3.77
"490",978,3.72,3.72
"491",980,3.76,3.76
"492",982,3.99,3.99
"493",984,4.15,4.15
"494",986,4.24,4.24
"495",988,4.21,4.21
"496",990,4.11,4.11
"497",992,4.06,4.06
"498",994,3.94,3.94
"499",996,3.84,3.84
"500",998,3.84,3.84
"501",1000,3.94,3.94
"502",1002,4.15,4.15
"503",1004,4.28,4.28
"504",1006,4.22,4.22
"505",1008,4.22,4.22
"506",1010,4.12,4.12
"507",1012,4.13,4.13
"508",1014,3.99,3.99
"509",1016,3.73,3.73
"510",1018,3.78,3.78
"511",1020,3.83,3.83
"512",1022,3.57,3.57
